numAllocBlue,numAllocRed,cohesionMax,convergeBlue,convergeRed,weightBlue,weightRed,stayingPwHVT,yAlpha,yBeta,zAlpha,zBeta
9,1,500,10000,500,10,10,11,1,1,1,1
1,9,500,10000,500,10,10,11,1,1,1,1
9,9,500,10000,500,10,0,11,1,1,1001,1
1,1,10000,10000,500,10,10,11,1,1,1,1
9,1,10000,10000,500,10,0,11,1,1,1001,1
1,9,10000,10000,500,10,0,11,1,1,1001,1
9,9,10000,10000,500,10,10,11,1,1,1,1
1,1,500,500,10000,10,0,11,1,1,1001,1
9,1,500,500,10000,10,10,11,1,1,1,1
1,9,500,500,10000,10,10,11,1,1,1,1
9,9,500,500,10000,10,0,11,1,1,1001,1
1,1,10000,500,10000,10,10,11,1,1,1,1
9,1,10000,500,10000,10,0,11,1,1,1001,1
1,9,10000,500,10000,10,0,11,1,1,1001,1
9,9,10000,500,10000,10,10,11,1,1,1,1
1,1,500,10000,10000,10,10,11,1,1,1001,1
9,1,500,10000,10000,10,0,11,1,1,1,1
1,9,500,10000,10000,10,0,11,1,1,1,1
9,9,500,10000,10000,10,10,11,1,1,1001,1
1,1,10000,10000,10000,10,0,11,1,1,1,1
9,1,10000,10000,10000,10,10,11,1,1,1001,1
1,9,10000,10000,10000,10,10,11,1,1,1001,1
9,9,10000,10000,10000,10,0,11,1,1,1,1
1,1,500,500,500,0,0,1,1001,1,1001,1
9,1,500,500,500,0,10,1,1001,1,1,1
1,9,500,500,500,0,10,1,1001,1,1,1
9,9,500,500,500,0,0,1,1001,1,1001,1
1,1,10000,500,500,0,10,1,1001,1,1,1
9,1,10000,500,500,0,0,1,1001,1,1001,1
1,9,10000,500,500,0,0,1,1001,1,1001,1
9,9,10000,500,500,0,10,1,1001,1,1,1
1,1,500,10000,500,0,10,1,1001,1,1001,1
9,1,500,10000,500,0,0,1,1001,1,1,1
1,9,500,10000,500,0,0,1,1001,1,1,1
9,9,500,10000,500,0,10,1,1001,1,1001,1
1,1,10000,10000,500,0,0,1,1001,1,1,1
9,1,10000,10000,500,0,10,1,1001,1,1001,1
1,9,10000,10000,500,0,10,1,1001,1,1001,1
9,9,10000,10000,500,0,0,1,1001,1,1,1
1,1,500,500,10000,0,10,1,1001,1,1001,1
9,1,500,500,10000,0,0,1,1001,1,1,1
1,9,500,500,10000,0,0,1,1001,1,1,1
9,9,500,500,10000,0,10,1,1001,1,1001,1
1,1,10000,500,10000,0,0,1,1001,1,1,1
9,1,10000,500,10000,0,10,1,1001,1,1001,1
1,9,10000,500,10000,0,10,1,1001,1,1001,1
9,9,10000,500,10000,0,0,1,1001,1,1,1
1,1,500,10000,10000,0,0,1,1001,1,1001,1
9,1,500,10000,10000,0,10,1,1001,1,1,1
1,9,500,10000,10000,0,10,1,1001,1,1,1
9,9,500,10000,10000,0,0,1,1001,1,1001,1
1,1,10000,10000,10000,0,10,1,1001,1,1,1
9,1,10000,10000,10000,0,0,1,1001,1,1001,1
1,9,10000,10000,10000,0,0,1,1001,1,1001,1
9,9,10000,10000,10000,0,10,1,1001,1,1,1
1,1,500,500,500,10,10,1,1001,1,1001,1
9,1,500,500,500,10,0,1,1001,1,1,1
1,9,500,500,500,10,0,1,1001,1,1,1
9,9,500,500,500,10,10,1,1001,1,1001,1
1,1,10000,500,500,10,0,1,1001,1,1,1
9,1,10000,500,500,10,10,1,1001,1,1001,1
1,9,10000,500,500,10,10,1,1001,1,1001,1
9,9,10000,500,500,10,0,1,1001,1,1,1
1,1,500,10000,500,10,0,1,1001,1,1001,1
9,1,500,10000,500,10,10,1,1001,1,1,1
1,9,500,10000,500,10,10,1,1001,1,1,1
9,9,500,10000,500,10,0,1,1001,1,1001,1
1,1,10000,10000,500,10,10,1,1001,1,1,1
9,1,10000,10000,500,10,0,1,1001,1,1001,1
1,9,10000,10000,500,10,0,1,1001,1,1001,1
9,9,10000,10000,500,10,10,1,1001,1,1,1
1,1,500,500,10000,10,0,1,1001,1,1001,1
9,1,500,500,10000,10,10,1,1001,1,1,1
1,9,500,500,10000,10,10,1,1001,1,1,1
9,9,500,500,10000,10,0,1,1001,1,1001,1
1,1,10000,500,10000,10,10,1,1001,1,1,1
9,1,10000,500,10000,10,0,1,1001,1,1001,1
1,9,10000,500,10000,10,0,1,1001,1,1001,1
9,9,10000,500,10000,10,10,1,1001,1,1,1
1,1,500,10000,10000,10,10,1,1001,1,1001,1
9,1,500,10000,10000,10,0,1,1001,1,1,1
1,9,500,10000,10000,10,0,1,1001,1,1,1
9,9,500,10000,10000,10,10,1,1001,1,1001,1
1,1,10000,10000,10000,10,0,1,1001,1,1,1
9,1,10000,10000,10000,10,10,1,1001,1,1001,1
1,9,10000,10000,10000,10,10,1,1001,1,1001,1
9,9,10000,10000,10000,10,0,1,1001,1,1,1
1,1,500,500,500,0,0,11,1001,1,1,1
9,1,500,500,500,0,10,11,1001,1,1001,1
1,9,500,500,500,0,10,11,1001,1,1001,1
9,9,500,500,500,0,0,11,1001,1,1,1
1,1,10000,500,500,0,10,11,1001,1,1001,1
9,1,10000,500,500,0,0,11,1001,1,1,1
1,9,10000,500,500,0,0,11,1001,1,1,1
9,9,10000,500,500,0,10,11,1001,1,1001,1
1,1,500,10000,500,0,10,11,1001,1,1,1
9,1,500,10000,500,0,0,11,1001,1,1001,1
1,9,500,10000,500,0,0,11,1001,1,1001,1
9,9,500,10000,500,0,10,11,1001,1,1,1
1,1,10000,10000,500,0,0,11,1001,1,1001,1
9,1,10000,10000,500,0,10,11,1001,1,1,1
1,9,10000,10000,500,0,10,11,1001,1,1,1
9,9,10000,10000,500,0,0,11,1001,1,1001,1
1,1,500,500,10000,0,10,11,1001,1,1,1
9,1,500,500,10000,0,0,11,1001,1,1001,1
1,9,500,500,10000,0,0,11,1001,1,1001,1
9,9,500,500,10000,0,10,11,1001,1,1,1
1,1,10000,500,10000,0,0,11,1001,1,1001,1
9,1,10000,500,10000,0,10,11,1001,1,1,1
1,9,10000,500,10000,0,10,11,1001,1,1,1
9,9,10000,500,10000,0,0,11,1001,1,1001,1
1,1,500,10000,10000,0,0,11,1001,1,1,1
9,1,500,10000,10000,0,10,11,1001,1,1001,1
1,9,500,10000,10000,0,10,11,1001,1,1001,1
9,9,500,10000,10000,0,0,11,1001,1,1,1
1,1,10000,10000,10000,0,10,11,1001,1,1001,1
9,1,10000,10000,10000,0,0,11,1001,1,1,1
1,9,10000,10000,10000,0,0,11,1001,1,1,1
9,9,10000,10000,10000,0,10,11,1001,1,1001,1
1,1,500,500,500,10,10,11,1001,1,1,1
9,1,500,500,500,10,0,11,1001,1,1001,1
1,9,500,500,500,10,0,11,1001,1,1001,1
9,9,500,500,500,10,10,11,1001,1,1,1
1,1,10000,500,500,10,0,11,1001,1,1001,1
9,1,10000,500,500,10,10,11,1001,1,1,1
1,9,10000,500,500,10,10,11,1001,1,1,1
9,9,10000,500,500,10,0,11,1001,1,1001,1
1,1,500,10000,500,10,0,11,1001,1,1,1
9,1,500,10000,500,10,10,11,1001,1,1001,1
1,9,500,10000,500,10,10,11,1001,1,1001,1
9,9,500,10000,500,10,0,11,1001,1,1,1
1,1,10000,10000,500,10,10,11,1001,1,1001,1
9,1,10000,10000,500,10,0,11,1001,1,1,1
1,9,10000,10000,500,10,0,11,1001,1,1,1
9,9,10000,10000,500,10,10,11,1001,1,1001,1
1,1,500,500,10000,10,0,11,1001,1,1,1
9,1,500,500,10000,10,10,11,1001,1,1001,1
1,9,500,500,10000,10,10,11,1001,1,1001,1
9,9,500,500,10000,10,0,11,1001,1,1,1
1,1,10000,500,10000,10,10,11,1001,1,1001,1
9,1,10000,500,10000,10,0,11,1001,1,1,1
1,9,10000,500,10000,10,0,11,1001,1,1,1
9,9,10000,500,10000,10,10,11,1001,1,1001,1
1,1,500,10000,10000,10,10,11,1001,1,1,1
9,1,500,10000,10000,10,0,11,1001,1,1001,1
1,9,500,10000,10000,10,0,11,1001,1,1001,1
9,9,500,10000,10000,10,10,11,1001,1,1,1
1,1,10000,10000,10000,10,0,11,1001,1,1001,1
9,1,10000,10000,10000,10,10,11,1001,1,1,1
1,9,10000,10000,10000,10,10,11,1001,1,1,1
9,9,10000,10000,10000,10,0,11,1001,1,1001,1
1,1,500,500,500,0,0,1,1,1001,1001,1
9,1,500,500,500,0,10,1,1,1001,1,1
1,9,500,500,500,0,10,1,1,1001,1,1
9,9,500,500,500,0,0,1,1,1001,1001,1
1,1,10000,500,500,0,10,1,1,1001,1,1
9,1,10000,500,500,0,0,1,1,1001,1001,1
1,9,10000,500,500,0,0,1,1,1001,1001,1
9,9,10000,500,500,0,10,1,1,1001,1,1
1,1,500,10000,500,0,10,1,1,1001,1001,1
9,1,500,10000,500,0,0,1,1,1001,1,1
1,9,500,10000,500,0,0,1,1,1001,1,1
9,9,500,10000,500,0,10,1,1,1001,1001,1
1,1,10000,10000,500,0,0,1,1,1001,1,1
9,1,10000,10000,500,0,10,1,1,1001,1001,1
1,9,10000,10000,500,0,10,1,1,1001,1001,1
9,9,10000,10000,500,0,0,1,1,1001,1,1
1,1,500,500,10000,0,10,1,1,1001,1001,1
9,1,500,500,10000,0,0,1,1,1001,1,1
1,9,500,500,10000,0,0,1,1,1001,1,1
9,9,500,500,10000,0,10,1,1,1001,1001,1
1,1,10000,500,10000,0,0,1,1,1001,1,1
9,1,10000,500,10000,0,10,1,1,1001,1001,1
1,9,10000,500,10000,0,10,1,1,1001,1001,1
9,9,10000,500,10000,0,0,1,1,1001,1,1
1,1,500,10000,10000,0,0,1,1,1001,1001,1
9,1,500,10000,10000,0,10,1,1,1001,1,1
1,9,500,10000,10000,0,10,1,1,1001,1,1
9,9,500,10000,10000,0,0,1,1,1001,1001,1
1,1,10000,10000,10000,0,10,1,1,1001,1,1
9,1,10000,10000,10000,0,0,1,1,1001,1001,1
1,9,10000,10000,10000,0,0,1,1,1001,1001,1
9,9,10000,10000,10000,0,10,1,1,1001,1,1
1,1,500,500,500,10,10,1,1,1001,1001,1
9,1,500,500,500,10,0,1,1,1001,1,1
1,9,500,500,500,10,0,1,1,1001,1,1
9,9,500,500,500,10,10,1,1,1001,1001,1
1,1,10000,500,500,10,0,1,1,1001,1,1
9,1,10000,500,500,10,10,1,1,1001,1001,1
1,9,10000,500,500,10,10,1,1,1001,1001,1
9,9,10000,500,500,10,0,1,1,1001,1,1
1,1,500,10000,500,10,0,1,1,1001,1001,1
9,1,500,10000,500,10,10,1,1,1001,1,1
1,9,500,10000,500,10,10,1,1,1001,1,1
9,9,500,10000,500,10,0,1,1,1001,1001,1
1,1,10000,10000,500,10,10,1,1,1001,1,1
9,1,10000,10000,500,10,0,1,1,1001,1001,1
1,9,10000,10000,500,10,0,1,1,1001,1001,1
9,9,10000,10000,500,10,10,1,1,1001,1,1
1,1,500,500,10000,10,0,1,1,1001,1001,1
9,1,500,500,10000,10,10,1,1,1001,1,1
1,9,500,500,10000,10,10,1,1,1001,1,1
9,9,500,500,10000,10,0,1,1,1001,1001,1
1,1,10000,500,10000,10,10,1,1,1001,1,1
9,1,10000,500,10000,10,0,1,1,1001,1001,1
1,9,10000,500,10000,10,0,1,1,1001,1001,1
9,9,10000,500,10000,10,10,1,1,1001,1,1
1,1,500,10000,10000,10,10,1,1,1001,1001,1
9,1,500,10000,10000,10,0,1,1,1001,1,1
1,9,500,10000,10000,10,0,1,1,1001,1,1
9,9,500,10000,10000,10,10,1,1,1001,1001,1
1,1,10000,10000,10000,10,0,1,1,1001,1,1
9,1,10000,10000,10000,10,10,1,1,1001,1001,1
1,9,10000,10000,10000,10,10,1,1,1001,1001,1
9,9,10000,10000,10000,10,0,1,1,1001,1,1
1,1,500,500,500,0,0,11,1,1001,1,1
9,1,500,500,500,0,10,11,1,1001,1001,1
1,9,500,500,500,0,10,11,1,1001,1001,1
9,9,500,500,500,0,0,11,1,1001,1,1
1,1,10000,500,500,0,10,11,1,1001,1001,1
9,1,10000,500,500,0,0,11,1,1001,1,1
1,9,10000,500,500,0,0,11,1,1001,1,1
9,9,10000,500,500,0,10,11,1,1001,1001,1
1,1,500,10000,500,0,10,11,1,1001,1,1
9,1,500,10000,500,0,0,11,1,1001,1001,1
1,9,500,10000,500,0,0,11,1,1001,1001,1
9,9,500,10000,500,0,10,11,1,1001,1,1
1,1,10000,10000,500,0,0,11,1,1001,1001,1
9,1,10000,10000,500,0,10,11,1,1001,1,1
1,9,10000,10000,500,0,10,11,1,1001,1,1
9,9,10000,10000,500,0,0,11,1,1001,1001,1
1,1,500,500,10000,0,10,11,1,1001,1,1
9,1,500,500,10000,0,0,11,1,1001,1001,1
1,9,500,500,10000,0,0,11,1,1001,1001,1
9,9,500,500,10000,0,10,11,1,1001,1,1
1,1,10000,500,10000,0,0,11,1,1001,1001,1
9,1,10000,500,10000,0,10,11,1,1001,1,1
1,9,10000,500,10000,0,10,11,1,1001,1,1
9,9,10000,500,10000,0,0,11,1,1001,1001,1
1,1,500,10000,10000,0,0,11,1,1001,1,1
9,1,500,10000,10000,0,10,11,1,1001,1001,1
1,9,500,10000,10000,0,10,11,1,1001,1001,1
9,9,500,10000,10000,0,0,11,1,1001,1,1
1,1,10000,10000,10000,0,10,11,1,1001,1001,1
9,1,10000,10000,10000,0,0,11,1,1001,1,1
1,9,10000,10000,10000,0,0,11,1,1001,1,1
9,9,10000,10000,10000,0,10,11,1,1001,1001,1
1,1,500,500,500,10,10,11,1,1001,1,1
9,1,500,500,500,10,0,11,1,1001,1001,1
1,9,500,500,500,10,0,11,1,1001,1001,1
9,9,500,500,500,10,10,11,1,1001,1,1
1,1,10000,500,500,10,0,11,1,1001,1001,1
9,1,10000,500,500,10,10,11,1,1001,1,1
1,9,10000,500,500,10,10,11,1,1001,1,1
9,9,10000,500,500,10,0,11,1,1001,1001,1
1,1,500,10000,500,10,0,11,1,1001,1,1
9,1,500,10000,500,10,10,11,1,1001,1001,1
1,9,500,10000,500,10,10,11,1,1001,1001,1
9,9,500,10000,500,10,0,11,1,1001,1,1
1,1,10000,10000,500,10,10,11,1,1001,1001,1
9,1,10000,10000,500,10,0,11,1,1001,1,1
1,9,10000,10000,500,10,0,11,1,1001,1,1
9,9,10000,10000,500,10,10,11,1,1001,1001,1
1,1,500,500,10000,10,0,11,1,1001,1,1
9,1,500,500,10000,10,10,11,1,1001,1001,1
1,9,500,500,10000,10,10,11,1,1001,1001,1
9,9,500,500,10000,10,0,11,1,1001,1,1
1,1,10000,500,10000,10,10,11,1,1001,1001,1
9,1,10000,500,10000,10,0,11,1,1001,1,1
1,9,10000,500,10000,10,0,11,1,1001,1,1
9,9,10000,500,10000,10,10,11,1,1001,1001,1
1,1,500,10000,10000,10,10,11,1,1001,1,1
9,1,500,10000,10000,10,0,11,1,1001,1001,1
1,9,500,10000,10000,10,0,11,1,1001,1001,1
9,9,500,10000,10000,10,10,11,1,1001,1,1
1,1,10000,10000,10000,10,0,11,1,1001,1001,1
9,1,10000,10000,10000,10,10,11,1,1001,1,1
1,9,10000,10000,10000,10,10,11,1,1001,1,1
9,9,10000,10000,10000,10,0,11,1,1001,1001,1
1,1,500,500,500,0,0,1,1001,1001,1,1
9,1,500,500,500,0,10,1,1001,1001,1001,1
1,9,500,500,500,0,10,1,1001,1001,1001,1
9,9,500,500,500,0,0,1,1001,1001,1,1
1,1,10000,500,500,0,10,1,1001,1001,1001,1
9,1,10000,500,500,0,0,1,1001,1001,1,1
1,9,10000,500,500,0,0,1,1001,1001,1,1
9,9,10000,500,500,0,10,1,1001,1001,1001,1
1,1,500,10000,500,0,10,1,1001,1001,1,1
9,1,500,10000,500,0,0,1,1001,1001,1001,1
1,9,500,10000,500,0,0,1,1001,1001,1001,1
9,9,500,10000,500,0,10,1,1001,1001,1,1
1,1,10000,10000,500,0,0,1,1001,1001,1001,1
9,1,10000,10000,500,0,10,1,1001,1001,1,1
1,9,10000,10000,500,0,10,1,1001,1001,1,1
9,9,10000,10000,500,0,0,1,1001,1001,1001,1
1,1,500,500,10000,0,10,1,1001,1001,1,1
9,1,500,500,10000,0,0,1,1001,1001,1001,1
1,9,500,500,10000,0,0,1,1001,1001,1001,1
9,9,500,500,10000,0,10,1,1001,1001,1,1
1,1,10000,500,10000,0,0,1,1001,1001,1001,1
9,1,10000,500,10000,0,10,1,1001,1001,1,1
1,9,10000,500,10000,0,10,1,1001,1001,1,1
9,9,10000,500,10000,0,0,1,1001,1001,1001,1
1,1,500,10000,10000,0,0,1,1001,1001,1,1
9,1,500,10000,10000,0,10,1,1001,1001,1001,1
1,9,500,10000,10000,0,10,1,1001,1001,1001,1
9,9,500,10000,10000,0,0,1,1001,1001,1,1
1,1,10000,10000,10000,0,10,1,1001,1001,1001,1
9,1,10000,10000,10000,0,0,1,1001,1001,1,1
1,9,10000,10000,10000,0,0,1,1001,1001,1,1
9,9,10000,10000,10000,0,10,1,1001,1001,1001,1
1,1,500,500,500,10,10,1,1001,1001,1,1
9,1,500,500,500,10,0,1,1001,1001,1001,1
1,9,500,500,500,10,0,1,1001,1001,1001,1
9,9,500,500,500,10,10,1,1001,1001,1,1
1,1,10000,500,500,10,0,1,1001,1001,1001,1
9,1,10000,500,500,10,10,1,1001,1001,1,1
1,9,10000,500,500,10,10,1,1001,1001,1,1
9,9,10000,500,500,10,0,1,1001,1001,1001,1
1,1,500,10000,500,10,0,1,1001,1001,1,1
9,1,500,10000,500,10,10,1,1001,1001,1001,1
1,9,500,10000,500,10,10,1,1001,1001,1001,1
9,9,500,10000,500,10,0,1,1001,1001,1,1
1,1,10000,10000,500,10,10,1,1001,1001,1001,1
9,1,10000,10000,500,10,0,1,1001,1001,1,1
1,9,10000,10000,500,10,0,1,1001,1001,1,1
9,9,10000,10000,500,10,10,1,1001,1001,1001,1
1,1,500,500,10000,10,0,1,1001,1001,1,1
9,1,500,500,10000,10,10,1,1001,1001,1001,1
1,9,500,500,10000,10,10,1,1001,1001,1001,1
9,9,500,500,10000,10,0,1,1001,1001,1,1
1,1,10000,500,10000,10,10,1,1001,1001,1001,1
9,1,10000,500,10000,10,0,1,1001,1001,1,1
1,9,10000,500,10000,10,0,1,1001,1001,1,1
9,9,10000,500,10000,10,10,1,1001,1001,1001,1
1,1,500,10000,10000,10,10,1,1001,1001,1,1
9,1,500,10000,10000,10,0,1,1001,1001,1001,1
1,9,500,10000,10000,10,0,1,1001,1001,1001,1
9,9,500,10000,10000,10,10,1,1001,1001,1,1
1,1,10000,10000,10000,10,0,1,1001,1001,1001,1
9,1,10000,10000,10000,10,10,1,1001,1001,1,1
1,9,10000,10000,10000,10,10,1,1001,1001,1,1
9,9,10000,10000,10000,10,0,1,1001,1001,1001,1
1,1,500,500,500,0,0,11,1001,1001,1001,1
9,1,500,500,500,0,10,11,1001,1001,1,1
1,9,500,500,500,0,10,11,1001,1001,1,1
9,9,500,500,500,0,0,11,1001,1001,1001,1
1,1,10000,500,500,0,10,11,1001,1001,1,1
9,1,10000,500,500,0,0,11,1001,1001,1001,1
1,9,10000,500,500,0,0,11,1001,1001,1001,1
9,9,10000,500,500,0,10,11,1001,1001,1,1
1,1,500,10000,500,0,10,11,1001,1001,1001,1
9,1,500,10000,500,0,0,11,1001,1001,1,1
1,9,500,10000,500,0,0,11,1001,1001,1,1
9,9,500,10000,500,0,10,11,1001,1001,1001,1
1,1,10000,10000,500,0,0,11,1001,1001,1,1
9,1,10000,10000,500,0,10,11,1001,1001,1001,1
1,9,10000,10000,500,0,10,11,1001,1001,1001,1
9,9,10000,10000,500,0,0,11,1001,1001,1,1
1,1,500,500,10000,0,10,11,1001,1001,1001,1
9,1,500,500,10000,0,0,11,1001,1001,1,1
1,9,500,500,10000,0,0,11,1001,1001,1,1
9,9,500,500,10000,0,10,11,1001,1001,1001,1
1,1,10000,500,10000,0,0,11,1001,1001,1,1
9,1,10000,500,10000,0,10,11,1001,1001,1001,1
1,9,10000,500,10000,0,10,11,1001,1001,1001,1
9,9,10000,500,10000,0,0,11,1001,1001,1,1
1,1,500,10000,10000,0,0,11,1001,1001,1001,1
9,1,500,10000,10000,0,10,11,1001,1001,1,1
1,9,500,10000,10000,0,10,11,1001,1001,1,1
9,9,500,10000,10000,0,0,11,1001,1001,1001,1
1,1,10000,10000,10000,0,10,11,1001,1001,1,1
9,1,10000,10000,10000,0,0,11,1001,1001,1001,1
1,9,10000,10000,10000,0,0,11,1001,1001,1001,1
9,9,10000,10000,10000,0,10,11,1001,1001,1,1
1,1,500,500,500,10,10,11,1001,1001,1001,1
9,1,500,500,500,10,0,11,1001,1001,1,1
1,9,500,500,500,10,0,11,1001,1001,1,1
9,9,500,500,500,10,10,11,1001,1001,1001,1
1,1,10000,500,500,10,0,11,1001,1001,1,1
9,1,10000,500,500,10,10,11,1001,1001,1001,1
1,9,10000,500,500,10,10,11,1001,1001,1001,1
9,9,10000,500,500,10,0,11,1001,1001,1,1
1,1,500,10000,500,10,0,11,1001,1001,1001,1
9,1,500,10000,500,10,10,11,1001,1001,1,1
1,9,500,10000,500,10,10,11,1001,1001,1,1
9,9,500,10000,500,10,0,11,1001,1001,1001,1
1,1,10000,10000,500,10,10,11,1001,1001,1,1
9,1,10000,10000,500,10,0,11,1001,1001,1001,1
1,9,10000,10000,500,10,0,11,1001,1001,1001,1
9,9,10000,10000,500,10,10,11,1001,1001,1,1
1,1,500,500,10000,10,0,11,1001,1001,1001,1
9,1,500,500,10000,10,10,11,1001,1001,1,1
1,9,500,500,10000,10,10,11,1001,1001,1,1
9,9,500,500,10000,10,0,11,1001,1001,1001,1
1,1,10000,500,10000,10,10,11,1001,1001,1,1
9,1,10000,500,10000,10,0,11,1001,1001,1001,1
1,9,10000,500,10000,10,0,11,1001,1001,1001,1
9,9,10000,500,10000,10,10,11,1001,1001,1,1
1,1,500,10000,10000,10,10,11,1001,1001,1001,1
9,1,500,10000,10000,10,0,11,1001,1001,1,1
1,9,500,10000,10000,10,0,11,1001,1001,1,1
9,9,500,10000,10000,10,10,11,1001,1001,1001,1
1,1,10000,10000,10000,10,0,11,1001,1001,1,1
9,1,10000,10000,10000,10,10,11,1001,1001,1001,1
1,9,10000,10000,10000,10,10,11,1001,1001,1001,1
9,9,10000,10000,10000,10,0,11,1001,1001,1,1
